rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,match_confidence_explanation,identity_decision,identity_decision_explanation,review_evidence,merged_openalex_ids,raw_openalex_profile_count,works_count_method,exact_match_papers,initial_match_papers
1,A5027036101,Joachim Boldt,Joachim Boldt,216,696,31.03,2010,2026,19.0,https://orcid.org/0000-0002-9219-7933,High,"High confidence: the profiles share the same ORCID or repeatedly match on coauthors and institutions. No conflicting ORCID was found, and the name alone was not enough to merge them.",Merged 2 OpenAlex profiles,We combined 2 OpenAlex profiles under A5027036101 because the evidence indicates the same person. A work appearing in more than one profile is counted only once.,Same RWD name with 13 shared coauthors and 1 shared affiliation signals.,A5027036101; A5029268538,2,OpenAlex union,212,4
2,A5031327561,Yoshitaka Fujii,Yoshitaka Fujii,147,783,18.77,2011,2019,14.0,https://orcid.org/0000-0003-2207-4230,High,"High confidence: the profiles share the same ORCID or repeatedly match on coauthors and institutions. No conflicting ORCID was found, and the name alone was not enough to merge them.",Merged 2 OpenAlex profiles,We combined 2 OpenAlex profiles under A5031327561 because the evidence indicates the same person. A work appearing in more than one profile is counted only once.,"The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor.",A5016959602; A5031327561,2,OpenAlex union,147,0
3,A5009985129,Hironobu Ueshima,Hironobu Ueshima,121,314,38.54,2020,2023,5.0,https://orcid.org/0000-0002-2533-1178,High,High confidence: all 121 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5009985129,1,Profile count,121,0
4,A5078459918,Hiroshi Otake,Hiroshi Otake,102,320,31.88,2020,2023,5.0,https://orcid.org/0000-0002-4776-3211,High,High confidence: all 102 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5078459918,1,Profile count,102,0
5,A5061714089,Ali Nazari,Ali Nazari,99,317,31.23,2019,2024,9.0,https://orcid.org/0000-0001-9461-3753,High,High confidence: all 99 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5061714089,1,Profile count,99,0
6,A5110795513,Yoshihiro Satō,Yoshihiro Sato,96,536,17.91,2015,2024,14.0,https://orcid.org/0009-0007-1226-2795,High,High confidence: all 96 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5110795513,1,Profile count,96,0
7,A5061371324,A. Salar Elahi,A Salar Elahi,92,303,30.36,2017,2025,9.0,https://orcid.org/0000-0003-3061-9579,High,High confidence: all 92 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5061371324,1,Profile count,92,0
8,A5023949389,Hidenori Toyooka,Hidenori Toyooka,91,393,23.16,2012,2022,15.0,,High,"High confidence: the profiles share the same ORCID or repeatedly match on coauthors and institutions. No conflicting ORCID was found, and the name alone was not enough to merge them.",Merged 3 OpenAlex profiles,We combined 3 OpenAlex profiles under A5023949389 because the evidence indicates the same person. A work appearing in more than one profile is counted only once.,"Same RWD name with 3 shared coauthors and 2 shared affiliation signals.; The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor.",A5023949389; A5079080607; A5113517827,3,OpenAlex union,91,0
9,A5056921218,Hiroyoshi Tanaka,Hiroyoshi Tanaka,84,329,25.53,2012,2022,15.0,https://orcid.org/0000-0003-1494-7716,High,"High confidence: the profiles share the same ORCID or repeatedly match on coauthors and institutions. No conflicting ORCID was found, and the name alone was not enough to merge them.",Merged 4 OpenAlex profiles,We combined 4 OpenAlex profiles under A5056921218 because the evidence indicates the same person. A work appearing in more than one profile is counted only once.,"Same RWD name with 2 shared coauthors and 3 shared affiliation signals.; Same RWD name with 4 shared coauthors and 10 shared affiliation signals.; Same RWD name with 5 shared coauthors and 5 shared affiliation signals.; The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor.",A5039489169; A5056921218; A5110163940; A5110380913,4,OpenAlex union,81,3
10,A5036218939,G. Hempelmann,Gunter G Hempelmann,83,927,8.95,2013,2024,28.0,,High,"High confidence: the profiles share the same ORCID or repeatedly match on coauthors and institutions. No conflicting ORCID was found, and the name alone was not enough to merge them.",Merged 3 OpenAlex profiles,We combined 3 OpenAlex profiles under A5036218939 because the evidence indicates the same person. A work appearing in more than one profile is counted only once.,Same RWD name with 23 shared coauthors and 3 shared affiliation signals.; Same RWD name with 3 shared coauthors and 1 shared affiliation signals.,A5036218939; A5064325314; A5108417396,3,OpenAlex union,1,82
