source_openalex_author_id,canonical_openalex_author_id,canonical_author,profile_group_size,decision
A5000044808,A5000044808,Li Chen,1,Exact DOI-level match
A5000117750,A5000117750,Hong Zhang,1,Exact DOI-level match
A5000155659,A5000155659,Wei Zhang,1,Exact DOI-level match
A5000201876,A5000201876,Jie Zhang,1,Exact DOI-level match
A5000211045,A5000211045,Ping Li,1,Exact DOI-level match
A5000314950,A5000314950,Jian Zhang,1,Exact DOI-level match
A5000436270,A5000436270,Lei Wang,1,Exact DOI-level match
A5000512905,A5000512905,Jun Yang,1,Exact DOI-level match
A5000531260,A5000531260,Dan Li,1,Exact DOI-level match
A5000570841,A5000570841,Bin Liu,1,Exact DOI-level match
A5001059898,A5001059898,Yang Liu,1,Exact DOI-level match
A5001251426,A5001251426,Peng Zhang,1,Exact DOI-level match
A5001362174,A5001362174,Feng Wang,1,Exact DOI-level match
A5001392952,A5001392952,Yang Liu,1,Exact DOI-level match
A5001396636,A5001396636,Tao Zhang,1,Exact DOI-level match
A5001526015,A5001526015,Qian Wang,1,Exact DOI-level match
A5001544321,A5001544321,Jun Zhang,1,Exact DOI-level match
A5001559266,A5001559266,Feng Wang,1,Exact DOI-level match
A5001591092,A5001591092,Yan Liu,1,Exact DOI-level match
A5001612078,A5001612078,Yan Liu,1,Exact DOI-level match
A5001760784,A5001760784,Feng Wang,1,Exact DOI-level match
A5002025513,A5002025513,Fang Liu,1,Exact DOI-level match
A5002090770,A5002090770,M.H. Li,1,Unresolved abbreviation
A5002125442,A5002125442,Tao Wang,1,Exact DOI-level match
A5002187164,A5002187164,Chandra Gopala Rao,1,Exact DOI-level match
A5002244487,A5002244487,Lei Liu,1,Exact DOI-level match
A5002285108,A5002285108,Jing Zhang,1,Exact DOI-level match
A5002442875,A5002442875,J Zhang,1,Exact DOI-level match
A5002453567,A5002453567,Yang Liu,1,Exact DOI-level match
A5002498810,A5002498810,Yu Liu,1,Exact DOI-level match
A5002622778,A5002622778,Li Hong,1,Exact DOI-level match
A5002637149,A5002637149,Jing Wang,1,Exact DOI-level match
A5002750918,A5002750918,Jun Li,1,Exact DOI-level match
A5002814280,A5002814280,Tao Liu,1,Exact DOI-level match
A5002847404,A5002847404,Jian Wang,1,Exact DOI-level match
A5002959160,A5002959160,Yong Wang,1,Exact DOI-level match
A5003031088,A5003031088,Jie Wang,1,Exact DOI-level match
A5003154300,A5003154300,Jun Zhang,1,Exact DOI-level match
A5003277541,A5003277541,Jian Li,1,Exact DOI-level match
A5003334032,A5003334032,Bo Wang,1,Exact DOI-level match
A5003408565,A5003408565,Lin Zhang,1,Exact DOI-level match
A5003674725,A5003674725,Ying Li Wang,1,Exact DOI-level match
A5003724781,A5003724781,Yang Yang,1,Exact DOI-level match
A5003757195,A5003757195,Wei Zhao,1,Exact DOI-level match
A5003813737,A5003813737,Rui Zhang,1,Exact DOI-level match
A5003815460,A5003815460,Ying Zhang,1,Exact DOI-level match
A5003837307,A5003837307,Hui Wang,1,Exact DOI-level match
A5003871909,A5003871909,Yan Zhang,1,Exact DOI-level match
A5004063425,A5004063425,Y. Wang,1,Unresolved abbreviation
A5004137391,A5004137391,Li Li,1,Exact DOI-level match
A5004150912,A5004150912,Jun Yang,1,Exact DOI-level match
A5004255007,A5004255007,Na Li,1,Exact DOI-level match
A5004389567,A5004389567,Yang Wang,1,Exact DOI-level match
A5004486459,A5004486459,Hui Li,1,Exact DOI-level match
A5004578755,A5004578755,Jun Liu,1,Exact DOI-level match
A5004844933,A5004844933,Lei Li,1,Exact DOI-level match
A5005049433,A5005049433,Hui Wang,1,Exact DOI-level match
A5005075928,A5005075928,Jing Zhang,1,Exact DOI-level match
A5005112871,A5005112871,Jing Yang,1,Exact DOI-level match
A5005208943,A5005208943,Ping Wang,1,Exact DOI-level match
A5005433863,A5005433863,Lin Wang,1,Exact DOI-level match
A5005528787,A5005528787,Jing Li,1,Exact DOI-level match
A5005691416,A5005691416,Dan Wang,1,Exact DOI-level match
