rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,exact_match_papers,initial_match_papers
1,A5027036101,Joachim Boldt,Joachim Boldt,212,668,31.74,2010,2026,19.0,https://orcid.org/0000-0002-9219-7933,High,212,0
2,A5031327561,Yoshitaka Fujii,Yoshitaka Fujii,146,783,18.65,2011,2019,14.0,https://orcid.org/0000-0003-2207-4230,High,146,0
3,A5009985129,Hironobu Ueshima,Hironobu Ueshima,121,314,38.54,2020,2023,5,https://orcid.org/0000-0002-2533-1178,High,121,0
4,A5078459918,Hiroshi Otake,Hiroshi Otake,102,320,31.88,2020,2023,5.0,https://orcid.org/0000-0002-4776-3211,High,102,0
5,A5061714089,Ali Nazari,Ali Nazari,99,317,31.23,2019,2024,9,https://orcid.org/0000-0001-9461-3753,High,99,0
6,A5110795513,Yoshihiro Satō,Yoshihiro Sato,96,536,17.91,2015,2024,14.0,https://orcid.org/0009-0007-1226-2795,High,96,0
7,A5061371324,A. Salar Elahi,A Salar Elahi,92,303,30.36,2017,2025,9.0,https://orcid.org/0000-0003-3061-9579,High,92,0
8,A5023949389,Hidenori Toyooka,Hidenori Toyooka,89,386,23.06,2012,2022,15,,High,89,0
9,A5074419878,Jun Iwamoto,Jun Iwamoto,79,323,24.46,2015,2024,12,https://orcid.org/0000-0002-3700-5337,High,79,0
10,A5056921218,Hiroyoshi Tanaka,Hiroyoshi Tanaka,73,311,23.47,2012,2022,15,https://orcid.org/0000-0003-1494-7716,High,73,0
11,A5030715283,M. Ghoranneviss,M Ghoranneviss,72,527,13.66,2017,2025,10.0,https://orcid.org/0000-0003-1096-0614,High,72,0
12,A5036218939,G. Hempelmann,Gunter G Hempelmann,71,564,12.59,2013,2024,28,,Review,1,70
13,A5052082627,Cornelius Busch,Cornelius J Busch,60,248,24.19,2014,2014,0.0,https://orcid.org/0000-0002-6747-8805,High,60,0
14,A5109092413,Michael Fresenius,Michael Fresenius,60,593,10.12,2014,2014,0.0,,High,60,0
15,A5015873217,Michael Heck,Michael Heck,60,687,8.73,2014,2014,0.0,https://orcid.org/0000-0001-9841-5025,High,60,0
16,A5074730004,Didier Raoult,Didier Raoult,59,4028,1.46,2020,2026,8,https://orcid.org/0000-0002-0633-5974,High,59,0
17,A5029717979,Diederik A. Stapel,Diederik A Stapel,56,238,23.53,2011,2015,4.0,,High,56,0
18,A5075868044,A. Maxim,Adrian Maxim,48,101,47.52,2004,2017,0.0,,Review,6,42
19,A5110875673,Shadi Riahi,Shadi Riahi,48,108,44.44,2019,2022,8.0,,High,48,0
20,A5074804419,Guilherme Malafaia,Guilherme Malafaia,46,559,8.23,2024,2026,2.0,https://orcid.org/0000-0003-4773-7598,High,46,0
21,A5070620598,Tsuyoshi Takeda,Tsuyoshi Takeda,42,407,10.32,2017,2024,13.0,https://orcid.org/0000-0002-0786-8166,High,42,0
22,A5109278193,Fazlul H. Sarkar,Fazlul H Sarkar,41,694,5.91,2016,2018,9,,High,41,0
23,A5028114748,Ashok Pandey,Ashok Pandey,39,1283,3.04,2012,2024,7,https://orcid.org/0000-0003-1626-3529,High,39,0
24,A5043483439,Chandra Gopala Rao,Chandra Gopala Rao,38,41,92.68,2015,2015,0.0,,High,38,0
25,A5103756554,Jasti S. Rao,Jasti S Rao,37,388,9.54,2018,2025,15,,High,37,0
26,A5101714747,H. Zhong,Hua Zhong,34,86,39.53,2009,2011,2.0,https://orcid.org/0000-0003-2221-6454,Review,1,33
27,A5063749738,Jun Lü,Jun Lu,34,212,16.04,2021,2023,4.0,https://orcid.org/0000-0002-2801-5330,High,34,0
28,A5109542843,Yuhji Saitoh,Yuhji Saitoh,30,87,34.48,2012,2022,14.0,,High,30,0
29,A5111934554,S. Suttner,Stefan W Suttner,27,72,37.5,2010,2026,7,,Review,0,27
30,A5113639147,S. N. Piper,Swen N Piper,26,74,35.14,2010,2026,7.5,,Review,0,26
31,A5109569139,Y. Saitoh,Yuhji Saitoh,23,72,31.94,2012,2019,15,,Review,0,23
32,A5029326219,T. Liu,Tao Liu,21,22,95.45,2009,2010,2,,Review,0,21
33,A5113643499,Swen N. Piper,Swen N Piper,20,54,37.04,2011,2026,9.0,,High,20,0
