openalex_author_id,author,paper_key,doi,source_author_names,publication_year,retraction_year,retraction_lag_years,match_type
A5000044808,Li Chen,doi:10.1155/2022/5166100,10.1155/2022/5166100,Li Chen,2022,2023,1,Exact
A5000117750,Hong Zhang,doi:10.1155/2022/4234137,10.1155/2022/4234137,Hong Zhang,2022,2023,1,Exact
A5000155659,Wei Zhang,doi:10.1155/2022/6234883,10.1155/2022/6234883,Wei Zhang,2022,2023,1,Exact
A5000201876,Jie Zhang,doi:10.1109/etcs.2010.474,10.1109/etcs.2010.474,Jie Zhang,2010,2010,0,Exact
A5000211045,Ping Li,doi:10.1155/2022/1414641,10.1155/2022/1414641,Ping Li,2022,2023,1,Exact
A5000314950,Jian Zhang,doi:10.1001/jama.2016.20036,10.1001/jama.2016.20036,Jian Zhang,2017,2018,1,Exact
A5000314950,Jian Zhang,doi:10.1001/jamapediatrics.2018.1012,10.1001/jamapediatrics.2018.1012,Jian Zhang,2018,2019,1,Exact
A5000436270,Lei Wang,doi:10.1155/2022/1704948,10.1155/2022/1704948,Lei Wang,2022,2023,1,Exact
A5000512905,Jun Yang,doi:10.1007/s12020-018-1803-1,10.1007/s12020-018-1803-1,Jun Yang,2018,2022,4,Exact
A5000531260,Dan Li,doi:10.1155/2022/8763304,10.1155/2022/8763304,Dan Li,2022,2023,1,Exact
A5000570841,Bin Liu,doi:10.1155/2022/5776831,10.1155/2022/5776831,Bin Liu,2022,2024,2,Exact
A5001059898,Yang Liu,doi:10.1016/j.phpro.2012.03.171,10.1016/j.phpro.2012.03.171,Yang Liu,2012,2013,1,Exact
A5001251426,Peng Zhang,doi:10.1186/s12885-018-5199-3,10.1186/s12885-018-5199-3,Peng Zhang,2018,2021,3,Exact
A5001362174,Feng Wang,doi:10.1155/2022/7580642,10.1155/2022/7580642,Feng Wang,2022,2023,1,Exact
A5001392952,Yang Liu,doi:10.1155/2021/5546716,10.1155/2021/5546716,Yang Liu,2021,2023,2,Exact
A5001396636,Tao Zhang,doi:10.1155/2022/9430708,10.1155/2022/9430708,Tao Zhang,2022,2023,1,Exact
A5001526015,Qian Wang,doi:10.1109/icina.2010.5636433,10.1109/icina.2010.5636433,Qian Wang,2010,2010,0,Exact
A5001544321,Jun Zhang,doi:10.1155/2022/2794851,10.1155/2022/2794851,Jun Zhang,2022,2023,1,Exact
A5001559266,Feng Wang,doi:10.1155/2022/2586400,10.1155/2022/2586400,Feng Wang,2022,2023,1,Exact
A5001591092,Yan Liu,doi:10.1155/2022/8646994,10.1155/2022/8646994,Yan Liu,2022,2023,1,Exact
