openalex_author_id,author,publisher,unique_retracted_papers
A5000044808,Li Chen,Hindawi,1
A5000117750,Hong Zhang,Hindawi,1
A5000155659,Wei Zhang,Hindawi,1
A5000201876,Jie Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5000211045,Ping Li,Hindawi,1
A5000314950,Jian Zhang,American Medical Association,2
A5000436270,Lei Wang,Hindawi,1
A5000512905,Jun Yang,Springer,1
A5000531260,Dan Li,Hindawi,1
A5000570841,Bin Liu,Hindawi,1
A5001059898,Yang Liu,Elsevier,1
A5001251426,Peng Zhang,Springer - Biomed Central (BMC),1
A5001362174,Feng Wang,Hindawi,1
A5001392952,Yang Liu,Hindawi,1
A5001396636,Tao Zhang,Hindawi,1
A5001526015,Qian Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5001544321,Jun Zhang,Hindawi,1
A5001559266,Feng Wang,Hindawi,1
A5001591092,Yan Liu,Hindawi,1
A5001612078,Yan Liu,Springer,1
A5001760784,Feng Wang,IOP Publishing,1
A5002025513,Fang Liu,Hindawi,1
A5002090770,M.H. Li,Elsevier,1
A5002125442,Tao Wang,Hindawi,1
A5002187164,Chandra Gopala Rao,Elsevier,3
A5002244487,Lei Liu,Hindawi,1
A5002285108,Jing Zhang,Wiley,1
A5002442875,J Zhang,Wiley,1
A5002453567,Yang Liu,Taylor and Francis,1
A5002498810,Yu Liu,IEEE: Institute of Electrical and Electronics Engineers,3
A5002622778,Li Hong,Hindawi,1
A5002637149,Jing Wang,Wiley,1
A5002750918,Jun Li,Hindawi,1
A5002814280,Tao Liu,American Chemical Society (ACS),1
A5002814280,Tao Liu,Wiley,1
A5002847404,Jian Wang,Springer - Nature Publishing Group,1
A5002959160,Yong Wang,Hindawi,1
A5003031088,Jie Wang,PLoS,1
A5003154300,Jun Zhang,Hindawi,1
A5003277541,Jian Li,Hindawi,1
A5003334032,Bo Wang,Springer,1
A5003408565,Lin Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5003674725,Ying Li Wang,Springer - Nature Publishing Group,1
A5003724781,Yang Yang,Elsevier,1
A5003757195,Wei Zhao,Springer,1
A5003813737,Rui Zhang,PLoS,1
A5003815460,Ying Zhang,Hindawi,1
A5003837307,Hui Wang,Hindawi,1
A5003871909,Yan Zhang,Hindawi,1
A5004063425,Y. Wang,ASPET: American Society for Pharmacology and Experimental Therapeutics,1
A5004137391,Li Li,Hindawi,1
A5004150912,Jun Yang,IEEE: Institute of Electrical and Electronics Engineers,1
A5004255007,Na Li,Hindawi,2
A5004389567,Yang Wang,Portland Press,1
A5004389567,Yang Wang,Spandidos,1
A5004486459,Hui Li,Elsevier,2
