source_author,candidate_papers,resolved_papers,no_doi,work_not_found,unmatched_name,ambiguous_name,resolution_pct
Joachim Boldt,239,219,14,0,6,0,91.63
Yoshitaka Fujii,172,155,9,0,8,0,90.12
Wei Wang,165,153,5,0,7,0,92.73
Wei Zhang,161,142,10,0,9,0,88.2
Jing Wang,143,129,5,0,9,0,90.21
Wei Li,127,118,4,0,5,0,92.91
Hironobu Ueshima,124,121,1,0,2,0,97.58
Yoshihiro Sato,124,108,6,0,10,0,87.1
Lei Wang,117,108,3,0,6,0,92.31
Hiroshi Otake,106,102,1,0,3,0,96.23
Yang Liu,106,94,6,0,6,0,88.68
Ali Nazari,104,100,3,0,1,0,96.15
Lei Zhang,101,95,4,1,1,0,94.06
Hidenori Toyooka,100,91,2,0,7,0,91.0
Jing Zhang,100,88,4,0,8,0,88.0
Jing Li,98,93,1,0,4,0,94.9
Li Zhang,98,88,4,0,6,0,89.8
Gunter G Hempelmann,96,83,10,0,3,0,86.46
Yan Li,95,88,3,0,3,1,92.63
Hiroyoshi Tanaka,94,84,4,0,6,0,89.36
Hui Li,93,87,5,0,1,0,93.55
Li Li,93,86,5,0,2,0,92.47
A Salar Elahi,92,92,0,0,0,0,100.0
Jun Iwamoto,91,82,5,0,4,0,90.11
Wei Liu,91,86,1,0,4,0,94.51
Yan Wang,90,81,5,0,4,0,90.0
Hui Wang,89,87,0,0,2,0,97.75
Yan Zhang,89,80,7,0,2,0,89.89
Yang Yang,88,82,4,0,2,0,93.18
Yu Zhang,88,83,2,0,3,0,94.32
Ying Wang,87,81,2,0,4,0,93.1
Li Wang,85,77,2,0,6,0,90.59
Jun Li,83,80,0,0,3,0,96.39
Yang Li,82,76,2,0,4,0,92.68
M Ghoranneviss,81,80,0,0,1,0,98.77
Jun Wang,80,71,6,0,3,0,88.75
Ying Liu,79,75,2,0,2,0,94.94
Tao Liu,78,75,2,0,1,0,96.15
Ying Zhang,77,70,3,0,3,1,90.91
Jing Liu,75,70,1,0,3,1,93.33
Yu Wang,75,72,2,0,1,0,96.0
Tao Wang,73,63,6,0,4,0,86.3
Yan Liu,71,66,2,0,3,0,92.96
Jian Wang,70,66,3,0,1,0,94.29
Xin Wang,69,65,3,0,1,0,94.2
Yang Wang,69,68,1,0,0,0,98.55
Hui Zhang,68,64,3,0,1,0,94.12
Xin Li,68,67,0,0,0,1,98.53
Jie Zhang,67,65,2,0,0,0,97.01
Min Zhang,67,62,1,0,4,0,92.54
Bo Wang,65,59,1,0,5,0,90.77
Jian Li,64,60,2,0,2,0,93.75
Jie Chen,63,56,2,0,5,0,88.89
Hong Zhang,62,59,1,0,2,0,95.16
Yu Liu,62,58,0,0,3,1,93.55
Jie Liu,61,53,3,0,4,1,86.89
Jun Lu,61,51,2,0,8,0,83.61
Ming Li,61,54,3,0,4,0,88.52
Wei Chen,61,55,4,0,2,0,90.16
Yi Wang,61,57,3,0,1,0,93.44
Ying Li,61,58,1,0,2,0,95.08
Cornelius J Busch,60,60,0,0,0,0,100.0
Didier Raoult,60,59,0,0,1,0,98.33
Feng Wang,60,58,2,0,0,0,96.67
Gang Wang,60,56,3,0,1,0,93.33
Michael Fresenius,60,60,0,0,0,0,100.0
Michael Heck,60,60,0,0,0,0,100.0
Xin Zhang,60,57,0,0,3,0,95.0
Qiang Li,59,55,2,0,2,0,93.22
Yi Zhang,59,56,0,0,3,0,94.92
Yong Wang,59,51,2,0,6,0,86.44
Diederik A Stapel,58,56,1,0,1,0,96.55
Swen N Piper,58,47,4,0,7,0,81.03
Tao Li,57,56,1,0,0,0,98.25
Jian Zhang,56,55,0,0,1,0,98.21
Jie Li,56,51,5,0,0,0,91.07
Qi Wang,56,52,2,0,2,0,92.86
Yuhji Saitoh,56,53,1,0,2,0,94.64
Lei Li,55,48,5,0,2,0,87.27
Xi Chen,55,55,0,0,0,0,100.0
Bo Zhang,54,50,4,0,0,0,92.59
Hui Liu,54,47,4,0,3,0,87.04
Fei Wang,53,47,4,0,2,0,88.68
Jun Zhang,53,51,1,0,1,0,96.23
Qian Wang,53,50,1,0,2,0,94.34
Qian Zhang,53,49,3,0,1,0,92.45
Rui Zhang,53,51,0,0,2,0,96.23
Yan Chen,53,50,2,0,1,0,94.34
Bo Li,52,45,2,0,5,0,86.54
Chandra Gopala Rao,52,50,2,0,0,0,96.15
Tao Zhang,52,50,1,0,1,0,96.15
Bin Wang,51,50,0,0,1,0,98.04
Jing Chen,51,48,2,0,1,0,94.12
Li Liu,51,46,1,0,4,0,90.2
Lin Zhang,51,46,3,0,2,0,90.2
Na Li,51,48,0,0,3,0,94.12
Peng Zhang,51,50,1,0,0,0,98.04
Hao Wang,50,48,1,0,1,0,96.0
Shadi Riahi,50,48,2,0,0,0,96.0
Tsuyoshi Takeda,50,42,3,0,5,0,84.0
Jun Liu,49,46,1,0,2,0,93.88
Min Wang,49,43,5,0,1,0,87.76
Wei Zhao,49,44,2,1,2,0,89.8
Adrian Maxim,48,48,0,0,0,0,100.0
Dan Wang,48,46,2,0,0,0,95.83
Feng Li,48,45,3,0,0,0,93.75
Jing Yang,48,40,4,0,4,0,83.33
Min Li,48,45,0,0,3,0,93.75
Ping Li,48,45,1,0,2,0,93.75
Stefan W Suttner,48,44,1,0,3,0,91.67
Yang Zhang,48,45,1,0,1,1,93.75
Gang Li,47,43,4,0,0,0,91.49
Guilherme Malafaia,47,46,0,0,1,0,97.87
Hao Zhang,47,43,2,0,2,0,91.49
Jin Wang,47,42,2,0,3,0,89.36
Ping Wang,47,45,0,0,2,0,95.74
Qian Li,47,41,3,0,2,1,87.23
Bin Zhang,46,44,2,0,0,0,95.65
Fang Liu,46,41,1,0,4,0,89.13
Hong Wang,46,40,1,0,5,0,86.96
Lei Liu,46,42,2,0,2,0,91.3
Rui Wang,46,44,1,0,1,0,95.65
Chao Wang,45,37,5,0,2,1,82.22
Dimitris Liakopoulos,45,23,21,1,0,0,51.11
Jie Wang,45,38,3,0,4,0,84.44
Jing Zhao,45,38,4,0,3,0,84.44
Yong Zhang,45,41,0,0,4,0,91.11
Fang Wang,44,43,0,0,1,0,97.73
Li Chen,44,44,0,0,0,0,100.0
Lin Wang,44,41,0,0,3,0,93.18
Ping Zhang,44,39,3,0,2,0,88.64
Ling Wang,43,41,0,0,2,0,95.35
Nan Li,43,38,2,0,3,0,88.37
Peng Li,43,42,1,0,0,0,97.67
Ashok Pandey,42,39,0,0,3,0,92.86
Hao Chen,42,37,3,0,2,0,88.1
Jasti S Rao,42,37,0,0,5,0,88.1
Jian Xu,42,38,2,0,2,0,90.48
Jun Chen,42,42,0,0,0,0,100.0
Jun Yang,42,41,1,0,0,0,97.62
Bin Liu,41,40,1,0,0,0,97.56
Dan Li,41,40,0,0,1,0,97.56
Dan Liu,41,38,1,0,2,0,92.68
Dong Mei Wu,41,19,0,0,22,0,46.34
Fazlul H Sarkar,41,41,0,0,0,0,100.0
Hong Li,41,39,2,0,0,0,95.12
Hua Zhong,41,41,0,0,0,0,100.0
Jin Zhang,41,40,1,0,0,0,97.56
Juan Li,41,38,1,0,2,0,92.68
Liang Wang,41,36,3,0,2,0,87.8
