openalex_author_id,author,reason,unique_retracted_papers
A5000044808,Li Chen,Computer-Aided Content or Computer-Generated Content,1
A5000044808,Li Chen,Concerns/Issues about Data,1
A5000044808,Li Chen,Concerns/Issues about Peer Review,1
A5000044808,Li Chen,Concerns/Issues about Referencing/Attributions,1
A5000044808,Li Chen,Concerns/Issues about Results and/or Conclusions,1
A5000044808,Li Chen,Unreliable Results and/or Conclusions,1
A5000117750,Hong Zhang,Computer-Aided Content or Computer-Generated Content,1
A5000117750,Hong Zhang,Concerns/Issues about Data,1
A5000117750,Hong Zhang,Concerns/Issues about Peer Review,1
A5000117750,Hong Zhang,Concerns/Issues about Referencing/Attributions,1
A5000117750,Hong Zhang,Concerns/Issues about Results and/or Conclusions,1
A5000117750,Hong Zhang,Unreliable Results and/or Conclusions,1
A5000155659,Wei Zhang,Concerns/Issues about Data,1
A5000155659,Wei Zhang,Concerns/Issues about Peer Review,1
A5000155659,Wei Zhang,Concerns/Issues about Referencing/Attributions,1
A5000155659,Wei Zhang,Unreliable Results and/or Conclusions,1
A5000201876,Jie Zhang,Notice - Limited or No Information,1
A5000211045,Ping Li,Computer-Aided Content or Computer-Generated Content,1
A5000211045,Ping Li,Concerns/Issues about Data,1
A5000211045,Ping Li,Concerns/Issues about Peer Review,1
A5000211045,Ping Li,Concerns/Issues about Referencing/Attributions,1
A5000211045,Ping Li,Concerns/Issues about Results and/or Conclusions,1
A5000211045,Ping Li,Informed/Patient Consent - None/Withdrawn,1
A5000211045,Ping Li,Lack of IRB/IACUC Approval and/or Compliance,1
A5000211045,Ping Li,Unreliable Results and/or Conclusions,1
A5000314950,Jian Zhang,Error in Analyses,2
A5000314950,Jian Zhang,Error in Results and/or Conclusions,2
A5000314950,Jian Zhang,Retract and Replace,2
A5000314950,Jian Zhang,Error in Data,1
A5000314950,Jian Zhang,Error in Methods,1
A5000436270,Lei Wang,Computer-Aided Content or Computer-Generated Content,1
A5000436270,Lei Wang,Concerns/Issues about Data,1
A5000436270,Lei Wang,Concerns/Issues about Peer Review,1
A5000436270,Lei Wang,Concerns/Issues about Referencing/Attributions,1
A5000436270,Lei Wang,Concerns/Issues about Results and/or Conclusions,1
A5000436270,Lei Wang,Informed/Patient Consent - None/Withdrawn,1
A5000436270,Lei Wang,Lack of IRB/IACUC Approval and/or Compliance,1
A5000436270,Lei Wang,Paper Mill,1
A5000436270,Lei Wang,Unreliable Results and/or Conclusions,1
A5000512905,Jun Yang,Duplication of/in Image,1
A5000512905,Jun Yang,Lack of IRB/IACUC Approval and/or Compliance,1
A5000512905,Jun Yang,Unreliable Results and/or Conclusions,1
A5000512905,Jun Yang,Upgrade/Update of Prior Notice(s),1
A5000531260,Dan Li,Concerns/Issues about Data,1
A5000531260,Dan Li,Concerns/Issues about Peer Review,1
A5000531260,Dan Li,Concerns/Issues about Referencing/Attributions,1
A5000531260,Dan Li,Unreliable Results and/or Conclusions,1
A5000570841,Bin Liu,Computer-Aided Content or Computer-Generated Content,1
A5000570841,Bin Liu,Concerns/Issues about Data,1
A5000570841,Bin Liu,Concerns/Issues about Peer Review,1
A5000570841,Bin Liu,Concerns/Issues about Referencing/Attributions,1
A5000570841,Bin Liu,Concerns/Issues about Results and/or Conclusions,1
A5000570841,Bin Liu,Paper Mill,1
A5000570841,Bin Liu,Unreliable Results and/or Conclusions,1
A5001059898,Yang Liu,Plagiarism of/in Article,1
A5001251426,Peng Zhang,Duplication of/in Image,1
A5001251426,Peng Zhang,Manipulation of Images,1
A5001251426,Peng Zhang,Paper Mill,1
A5001251426,Peng Zhang,Unreliable Data,1
A5001362174,Feng Wang,Compromised Peer Review,1
A5001362174,Feng Wang,Paper Mill,1
A5001362174,Feng Wang,Unreliable Results and/or Conclusions,1
A5001392952,Yang Liu,Computer-Aided Content or Computer-Generated Content,1
A5001392952,Yang Liu,Concerns/Issues about Data,1
A5001392952,Yang Liu,Concerns/Issues about Peer Review,1
A5001392952,Yang Liu,Concerns/Issues about Referencing/Attributions,1
A5001392952,Yang Liu,Concerns/Issues about Results and/or Conclusions,1
A5001392952,Yang Liu,Informed/Patient Consent - None/Withdrawn,1
A5001392952,Yang Liu,Lack of IRB/IACUC Approval and/or Compliance,1
A5001392952,Yang Liu,Paper Mill,1
A5001392952,Yang Liu,Unreliable Results and/or Conclusions,1
A5001396636,Tao Zhang,Concerns/Issues about Data,1
A5001396636,Tao Zhang,Concerns/Issues about Peer Review,1
A5001396636,Tao Zhang,Concerns/Issues about Referencing/Attributions,1
A5001396636,Tao Zhang,Unreliable Results and/or Conclusions,1
A5001526015,Qian Wang,Notice - Limited or No Information,1
A5001544321,Jun Zhang,Concerns/Issues about Data,1
A5001544321,Jun Zhang,Concerns/Issues about Human Subject Welfare,1
A5001544321,Jun Zhang,Concerns/Issues about Peer Review,1
A5001544321,Jun Zhang,Concerns/Issues about Referencing/Attributions,1
A5001544321,Jun Zhang,Lack of IRB/IACUC Approval and/or Compliance,1
A5001544321,Jun Zhang,Unreliable Results and/or Conclusions,1
A5001559266,Feng Wang,Compromised Peer Review,1
A5001559266,Feng Wang,Paper Mill,1
A5001559266,Feng Wang,Unreliable Results and/or Conclusions,1
A5001591092,Yan Liu,Computer-Aided Content or Computer-Generated Content,1
A5001591092,Yan Liu,Concerns/Issues about Data,1
A5001591092,Yan Liu,Concerns/Issues about Peer Review,1
A5001591092,Yan Liu,Concerns/Issues about Referencing/Attributions,1
A5001591092,Yan Liu,Concerns/Issues about Results and/or Conclusions,1
A5001591092,Yan Liu,Paper Mill,1
A5001591092,Yan Liu,Unreliable Results and/or Conclusions,1
A5001612078,Yan Liu,Concerns/Issues about Data,1
A5001612078,Yan Liu,Duplication of/in Image,1
A5001612078,Yan Liu,Original Data and/or Images not Provided and/or not Available,1
A5001612078,Yan Liu,Unreliable Results and/or Conclusions,1
A5001760784,Feng Wang,Compromised Peer Review,1
A5001760784,Feng Wang,Paper Mill,1
A5002025513,Fang Liu,Compromised Peer Review,1
A5002025513,Fang Liu,Paper Mill,1
A5002025513,Fang Liu,Unreliable Results and/or Conclusions,1
A5002090770,M.H. Li,Breach of Policy by Author,1
