review_type,source_author,openalex_author_id,compared_openalex_author_id,author,compared_author,exact_match_papers,initial_match_papers,compared_exact_match_papers,compared_initial_match_papers,shared_coauthors,shared_coauthor_ids,shared_institutions,shared_affiliations,shared_countries,publication_year_gap,orcid_relation,decision,confidence,rationale
Profile pair,Gunter G Hempelmann,A5036218939,A5064325314,G. Hempelmann,G. Hempelmann,1,70,0,1,3,3,1,0,DE,0,Unavailable,Automatic merge,High,Same RWD name with 3 shared coauthors and 1 shared affiliation signals.
Profile pair,Gunter G Hempelmann,A5036218939,A5108417396,G. Hempelmann,G. Hempelmann,1,70,0,11,23,19,1,2,DE,0,Unavailable,Automatic merge,High,Same RWD name with 23 shared coauthors and 3 shared affiliation signals.
Profile pair,Hidenori Toyooka,A5023949389,A5079080607,Hidenori Toyooka,HIDENORI TOYOOKA,89,0,1,0,3,1,1,1,JP,0,Unavailable,Automatic merge,High,"The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor."
Profile pair,Hidenori Toyooka,A5023949389,A5113517827,Hidenori Toyooka,Hidenori Toyooka,89,0,1,0,3,3,1,1,JP,0,Unavailable,Automatic merge,High,"The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor."
Profile pair,Hidenori Toyooka,A5079080607,A5113517827,HIDENORI TOYOOKA,Hidenori Toyooka,1,0,1,0,3,1,1,1,JP,1,Unavailable,Automatic merge,High,Same RWD name with 3 shared coauthors and 2 shared affiliation signals.
Profile pair,Hiroyoshi Tanaka,A5039489169,A5056921218,HIROYOSHI TANAKA,Hiroyoshi Tanaka,1,0,73,0,3,1,1,1,JP,0,Unavailable,Automatic merge,High,"The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor."
Profile pair,Hiroyoshi Tanaka,A5039489169,A5110163940,HIROYOSHI TANAKA,Hiroyoshi Tanaka,1,0,7,0,3,1,1,1,JP,0,Unavailable,Automatic merge,High,"The one-paper profile matches the larger profile on the RWD name, year, institution, affiliation and at least one coauthor."
Profile pair,Hiroyoshi Tanaka,A5056921218,A5110163940,Hiroyoshi Tanaka,Hiroyoshi Tanaka,73,0,7,0,4,5,4,6,JP,0,Unavailable,Automatic merge,High,Same RWD name with 4 shared coauthors and 10 shared affiliation signals.
Profile pair,Hiroyoshi Tanaka,A5056921218,A5110380913,Hiroyoshi Tanaka,H Tanaka,73,0,0,3,5,3,2,3,JP,0,Unavailable,Automatic merge,High,Same RWD name with 5 shared coauthors and 5 shared affiliation signals.
Profile pair,Hiroyoshi Tanaka,A5110163940,A5110380913,Hiroyoshi Tanaka,H Tanaka,7,0,0,3,2,2,1,2,JP,0,Unavailable,Automatic merge,High,Same RWD name with 2 shared coauthors and 3 shared affiliation signals.
