relative_year,period,citing_works,mean_per_paper,median_per_paper,q1_per_paper,q3_per_paper,papers_in_denominator,matched_papers
-5,Before retraction,5243,4.351,1,0.0,5.0,1205,7895
-4,Before retraction,6504,4.2482,1,0.0,5.0,1531,7895
-3,Before retraction,8023,4.0541,1,0.0,5.0,1979,7895
-2,Before retraction,10222,3.8971,1,0.0,4.0,2623,7895
-1,Before retraction,13112,3.2805,1,0.0,3.0,3997,7895
0,Retraction year,17190,2.1773,0,0.0,2.0,7895,7895
1,After retraction,11981,1.5175,0,0.0,1.0,7895,7895
2,After retraction,9348,1.184,0,0.0,1.0,7895,7895
3,After retraction,7787,0.9863,0,0.0,1.0,7895,7895
4,After retraction,6720,0.8512,0,0.0,1.0,7895,7895
5,After retraction,5670,0.7182,0,0.0,0.0,7895,7895
