sample_row,doi,doi_url,openalex_id,openalex_url,openalex_matched,citation_history_retrieved,title,authors,journal,publisher,publication_year,retraction_year,retraction_year_stratum,fixed_minus_5_to_plus_5_cohort,post_retraction_citing_works_years_plus_1_to_plus_5,top_200_post_retraction_rank,sample_random_seed,retraction_cutoff_year,openalex_retrieved_date,calendar_year_relative_minus_5,included_in_denominator_relative_minus_5,citing_works_relative_minus_5,calendar_year_relative_minus_4,included_in_denominator_relative_minus_4,citing_works_relative_minus_4,calendar_year_relative_minus_3,included_in_denominator_relative_minus_3,citing_works_relative_minus_3,calendar_year_relative_minus_2,included_in_denominator_relative_minus_2,citing_works_relative_minus_2,calendar_year_relative_minus_1,included_in_denominator_relative_minus_1,citing_works_relative_minus_1,calendar_year_relative_zero,included_in_denominator_relative_zero,citing_works_relative_zero,calendar_year_relative_plus_1,included_in_denominator_relative_plus_1,citing_works_relative_plus_1,calendar_year_relative_plus_2,included_in_denominator_relative_plus_2,citing_works_relative_plus_2,calendar_year_relative_plus_3,included_in_denominator_relative_plus_3,citing_works_relative_plus_3,calendar_year_relative_plus_4,included_in_denominator_relative_plus_4,citing_works_relative_plus_4,calendar_year_relative_plus_5,included_in_denominator_relative_plus_5,citing_works_relative_plus_5
1,10.1083/jcb.6.2.301,https://doi.org/10.1083/jcb.6.2.301,W1987022795,https://openalex.org/W1987022795,TRUE,TRUE,On the Primary Site of Nuclear RNA Synthesis,Lester Goldstein;Julie Micou Eastwood,The Journal of Cell Biology,Rockefeller University Press,1959,1966,1966,TRUE,10,,20260712,2020,2026-07-18,1961,TRUE,12,1962,TRUE,13,1963,TRUE,9,1964,TRUE,14,1965,TRUE,8,1966,TRUE,5,1967,TRUE,2,1968,TRUE,4,1969,TRUE,1,1970,TRUE,1,1971,TRUE,2
2,10.1016/s0020-1693(00)93130-x,https://doi.org/10.1016/s0020-1693(00)93130-x,W1972122922,https://openalex.org/W1972122922,TRUE,TRUE,Paramagnetic Relaxation in Inorganic Complexes. I. Inhomogeneous Hyperfine Broadening,L A Dalton;L L Dalton;Larry R Dalton,Inorganica Chimica Acta,Elsevier,1967,1967,1967,FALSE,0,,20260712,2020,2026-07-18,1962,FALSE,,1963,FALSE,,1964,FALSE,,1965,FALSE,,1966,FALSE,,1967,TRUE,0,1968,TRUE,0,1969,TRUE,0,1970,TRUE,0,1971,TRUE,0,1972,TRUE,0
3,10.1038/2121581b0,https://doi.org/10.1038/2121581b0,W1968242731,https://openalex.org/W1968242731,TRUE,TRUE,Effect of Host Pregnancy on Pupal Production by the Tsetse Fly,T A M Nash;A M Jordan;J A Boyle,Nature,Springer - Nature Publishing Group,1966,1967,1967,FALSE,3,,20260712,2020,2026-07-18,1962,FALSE,,1963,FALSE,,1964,FALSE,,1965,FALSE,,1966,TRUE,0,1967,TRUE,1,1968,TRUE,1,1969,TRUE,0,1970,TRUE,1,1971,TRUE,0,1972,TRUE,1
4,10.1126/science.141.3584.919,https://doi.org/10.1126/science.141.3584.919,W2042875482,https://openalex.org/W2042875482,TRUE,TRUE,Unmineralized Fossil Bacteria,W H Bradley,Science,American Association for the Advancement of Science (AAAS),1963,1968,1968,TRUE,3,,20260712,2020,2026-07-18,1963,TRUE,0,1964,TRUE,0,1965,TRUE,0,1966,TRUE,0,1967,TRUE,1,1968,TRUE,2,1969,TRUE,2,1970,TRUE,0,1971,TRUE,1,1972,TRUE,0,1973,TRUE,0
5,10.1515/9783111725093.1,https://doi.org/10.1515/9783111725093.1,W4237370419,https://openalex.org/W4237370419,TRUE,TRUE,EINLEITUNG,Dietrich Roloff,"Gottähnlichkeit, Vergöttlichung und Erhöhung zu seligem Leben",De Gruyter,1970,1970,1970,FALSE,0,,20260712,2020,2026-07-18,1965,FALSE,,1966,FALSE,,1967,FALSE,,1968,FALSE,,1969,FALSE,,1970,TRUE,0,1971,TRUE,0,1972,TRUE,0,1973,TRUE,0,1974,TRUE,0,1975,TRUE,0
6,10.1515/9783111725093.233,https://doi.org/10.1515/9783111725093.233,W4252230959,https://openalex.org/W4252230959,TRUE,TRUE,Sachregister I,Dietrich Roloff,"Gottähnlichkeit, Vergöttlichung und Erhöhung zu seligem Leben",De Gruyter,1970,1970,1970,FALSE,0,,20260712,2020,2026-07-18,1965,FALSE,,1966,FALSE,,1967,FALSE,,1968,FALSE,,1969,FALSE,,1970,TRUE,0,1971,TRUE,0,1972,TRUE,0,1973,TRUE,0,1974,TRUE,0,1975,TRUE,0
7,10.1056/nejm197306212882502,https://doi.org/10.1056/nejm197306212882502,W2338758904,https://openalex.org/W2338758904,TRUE,TRUE,Peripheral Thymus-Dependent (T) Lymphocytes in Graves's Disease and Hashimoto's Thyroiditis,Nadir R Farid;Robert E Munro;Vas V Row;Robert Volpe,NEJM: The New England Journal of Medicine,Massachusetts Medical Society,1973,1975,1975,FALSE,24,,20260712,2020,2026-07-18,1970,FALSE,,1971,FALSE,,1972,FALSE,,1973,TRUE,9,1974,TRUE,17,1975,TRUE,17,1976,TRUE,13,1977,TRUE,6,1978,TRUE,1,1979,TRUE,2,1980,TRUE,2
8,10.1126/science.179.4078.1129,https://doi.org/10.1126/science.179.4078.1129,W1973803724,https://openalex.org/W1973803724,TRUE,TRUE,Chromosome Assignments in Man of the Genes for Two Hexosephosphate Isomerases,F A McMorris;T R Chen;F Ricciuti;J Tischfield;R Creagan;F Ruddle,Science,American Association for the Advancement of Science (AAAS),1973,1975,1975,FALSE,15,,20260712,2020,2026-07-18,1970,FALSE,,1971,FALSE,,1972,FALSE,,1973,TRUE,1,1974,TRUE,5,1975,TRUE,4,1976,TRUE,3,1977,TRUE,6,1978,TRUE,2,1979,TRUE,3,1980,TRUE,1
9,10.1016/0014-5793(75)80344-9,https://doi.org/10.1016/0014-5793(75)80344-9,W1986056947,https://openalex.org/W1986056947,TRUE,TRUE,Effects of Cholinergic Agents and Sodium Ions on the Levels of Guanosine and Adenosine 3':5'-cyclic Monophosphates in Neuroblastoma and Neuroblastoma x Glioma Hybrid Cells,Robert J Gullis;Jorg Traber;Karin Fischer;Claudia Buchen;Bernd Hamprecht,FEBS Letters,Wiley,1975,1977,1977,FALSE,2,,20260712,2020,2026-07-18,1972,FALSE,,1973,FALSE,,1974,FALSE,,1975,TRUE,0,1976,TRUE,3,1977,TRUE,3,1978,TRUE,0,1979,TRUE,0,1980,TRUE,0,1981,TRUE,2,1982,TRUE,0
10,10.1042/bst0010849,https://doi.org/10.1042/bst0010849,W2413076774,https://openalex.org/W2413076774,TRUE,TRUE,Stimulation of Phospholipase A2 of Synaptosomes of Guinea-pig Brain by Noradrenaline and Other Amines,Robert J Gullis;Charles E Rowe,Biochemical Journal,Biochemical Society,1975,1977,1977,FALSE,0,,20260712,2020,2026-07-18,1972,FALSE,,1973,FALSE,,1974,FALSE,,1975,TRUE,2,1976,TRUE,1,1977,TRUE,1,1978,TRUE,0,1979,TRUE,0,1980,TRUE,0,1981,TRUE,0,1982,TRUE,0
