doi,retraction_year,publication_year
10.1083/jcb.6.2.301,1966,1959
10.1016/s0020-1693(00)93130-x,1967,1967
10.1038/2121581b0,1967,1966
10.1126/science.141.3584.919,1968,1963
10.1515/9783111725093.1,1970,1970
10.1515/9783111725093.233,1970,1970
10.1056/nejm197306212882502,1975,1973
10.1126/science.179.4078.1129,1975,1973
10.1016/0014-5793(75)80344-9,1977,1975
10.1042/bst0010849,1977,1975
10.1111/j.1471-4159.1976.tb07010.x,1977,1976
10.1515/9783486820225-010,1977,1977
10.1515/9783486820225-013,1977,1977
10.1515/9783486820225-014,1977,1977
10.1515/9783486820225-019,1977,1977
10.1515/9783486820225-024,1977,1977
10.1515/9783486820225-025,1977,1977
10.1515/9783486820225-027,1977,1977
10.1016/b978-0-12-484760-6.50011-4,1979,1979
10.1016/b978-0-12-484760-6.50016-3,1979,1979
10.1038/272829a0,1980,1978
10.1172/jci108759,1980,1977
10.1172/jci108966,1980,1977
10.1210/jcem-50-3-495,1980,1980
10.1002/ana.410080324,1981,1980
10.1016/0002-9149(80)90431-2,1981,1980
10.1161/01.cir.63.1.29,1982,1981
10.1016/0002-9149(80)90511-1,1983,1980
10.1016/s0002-9149(79)80132-0,1983,1979
10.1056/nejm197904193001602,1983,1979
10.1056/nejm198101153040301,1983,1981
10.1073/pnas.80.15.4694,1984,1983
10.1073/pnas.76.12.6066,1985,1979
10.1073/pnas.78.11.6729,1985,1981
10.1161/01.res.43.5.705,1985,1978
10.1172/jci110061,1985,1981
10.1016/0002-8703(84)90632-x,1986,1984
10.1016/b978-0-12-484772-9.50008-6,1986,1986
10.1016/b978-0-12-484772-9.50021-9,1986,1986
10.1016/b978-0-12-484772-9.50022-0,1986,1986
10.1148/radiology.152.3.575,1986,1984
10.1152/ajpheart.1984.247.4.h610,1986,1984
10.1515/9783110863932-001,1986,1986
10.1515/9783110863932-003,1986,1986
10.1016/s0735-1097(84)80440-4,1987,1984
10.1097/00003246-198309000-00010,1987,1983
10.1097/00003246-198312000-00001,1987,1983
10.1001/archpsyc.1983.01790030079010,1988,1983
10.1111/j.1601-5223.1981.tb01767.x,1988,1981
10.1073/pnas.84.24.9011,1989,1987
10.1126/science.6810463,1989,1982
10.1152/ajpendo.1986.251.1.e104,1989,1986
10.1176/ajp.139.11.1447,1989,1982
10.1002/j.1460-2075.1989.tb08465.x,1990,1989
10.1002/jnr.490230113,1990,1989
10.1016/0892-0362(88)90011-6,1990,1988
10.1037/0097-7403.13.1.3,1990,1987
10.1073/pnas.86.20.8005,1990,1989
10.1002/jlb.46.5.428,1991,1989
10.1007/bf01790093,1991,1988
10.1016/0092-8674(86)90389-2,1991,1986
10.1126/science.1696395,1991,1990
10.1128/jvi.65.6.3161-3166.1991,1991,1991
10.2337/diab.38.12.1643,1991,1989
10.1002/ijc.2910490412,1992,1991
10.1038/354476a0,1992,1991
10.1073/pnas.86.20.7928,1992,1989
10.1089/aid.1991.7.789,1992,1991
10.1172/jci113889,1992,1989
10.1515/9783486784282-011,1992,1992
10.1016/0006-8993(92)90858-7,1993,1992
10.1016/b978-0-12-676350-8.50019-0,1993,1993
10.1097/00000542-198910000-00020,1993,1989
10.1111/j.1471-4159.1989.tb07431.x,1993,1989
10.1515/9783486818666-001,1993,1993
10.3109/00207459008986624,1993,1990
10.1016/0014-5793(92)81355-p,1994,1992
10.1016/0306-4522(90)90228-v,1994,1990
10.1093/nar/22.6.953,1994,1994
10.1128/iai.61.1.338-342.1993,1994,1993
10.1016/0029-7844(95)00007-e,1995,1995
10.1021/bi00165a013,1995,1992
10.1093/carcin/15.11.2649,1995,1994
10.1093/infdis/168.4.1059,1995,1993
10.1128/iai.62.2.657-664.1994,1995,1994
10.1016/0888-7543(95)80177-n,1996,1995
10.1016/s0140-6736(94)91139-8,1996,1994
10.1016/s0143-4179(96)90052-9,1996,1996
10.1038/362450a0,1996,1993
10.1515/9783486818567-toc,1996,1996
10.1515/9783486830262.397,1996,1996
10.1515/9783486992182.1,1996,1996
10.1007/bf00202769,1997,1995
10.1016/0531-5565(94)00058-1,1997,1995
10.1021/bi9616615,1997,1996
10.1038/380707a0,1997,1996
10.1073/pnas.89.17.8049,1997,1992
10.1073/pnas.92.7.2979,1997,1995
10.1093/chemse/15.1.137,1997,1990
10.1126/science.270.5236.628,1997,1995
10.1126/science.272.5267.1489,1997,1996
10.1515/9783050073835-002,1997,1997
10.1515/9783050073835-fm,1997,1997
10.1006/clin.1994.1093,1998,1994
10.1006/clin.1994.1177,1998,1995
10.1016/0896-6273(94)90467-7,1998,1994
10.1016/s0092-8674(00)81822-x,1998,1996
