metric,value
eligible_unique_doi,24793
sampled_records,8000
matched_openalex,7895
retraction_cutoff_year,2020
failed_requests,0
random_seed,20260712
retrieved_date,2026-07-18
source,OpenAlex
completed_records,7895
coverage_pct,98.69
pre_citing_works,43104
retraction_year_citing_works,17190
post_citing_works,41506
pre_mean_annual_per_paper,3.9662
post_mean_annual_per_paper,1.0514
analysis_window_start,-5
analysis_window_end,5
post_retraction_ranking_start,1
post_retraction_ranking_end,5
fixed_window_records,1205
