rank,doi,openalex_id,title,authors,journal,publisher,publication_year,retraction_year,post_retraction_citations
1,10.4103/0974-1208.82352,W2058834052,An overview of randomization techniques: An unbiased assessment of outcome in clinical research,KP Suresh,Journal of Human Reproductive Sciences,Wolters Kluwer - Lippincott Williams & Wilkins,2011,2017,597
2,10.1016/s0140-6736(20)31180-6,W3027680906,Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis,Mandeep R Mehra;Sapan S Desai;Frank Ruschitzka;Amit N Patel,Lancet,Elsevier,2020,2020,568
3,10.15585/mmwr.ss6513a1,W4244767238,"Prevalence and Characteristics of Autism Spectrum Disorder Among Children Aged 8 Years — Autism and Developmental Disabilities Monitoring Network, 11 Sites, United States, 2012",Deborah L Christensen;Jon Baio;Kim van Naarden Braun;Deborah Bilder;Jane Charles;John N Constantino;Julie Daniels;Maureen S Durkin;Robert T Fitzgerald;Margaret Kurzius-Spencer;Li Ching Lee;Sydney Pettygrove;Cordelia Robinson;Eldon Schulz;Chris Wells;Martha S Wingate;Walter Zahorodny;Marshlyn Yeargin-Allsopp,Morbidity and Mortality Weekly Report (MMWR),Centers for Disease Control and Prevention,2016,2018,435
4,10.1021/am300292v,W2032489408,Flexible and Microporous Chitosan Hydrogel/Nano ZnO Composite Bandages for Wound Dressing: In Vitro and In Vivo Evaluation,P T Sudheesh Kumar;Vinoth Kumar Lakshmanan;T V Anilkumar;C Ramya;P Reshmi;A G Unnikrishnan;Shantikumar V Nair;Rangasamy Jayakumar,ACS Applied Materials & Interfaces,American Chemical Society (ACS),2012,2019,322
5,10.1038/nature10167,W2010023860,Selective killing of cancer cells by a small molecule targeting the stress response to ROS,Lakshmi Raj;Takao Ide;Aditi U Gurkar;Michael Foley;Monica Schenone;Xiaoyu Li;Nicola J Tolliday;Todd R Golub;Steven A Carr;Alykhan F Shamji;Andrew M Stern;Anna Mandinova;Stuart L Schreiber;Sam W Lee,Nature,Springer - Nature Publishing Group,2011,2018,254
6,10.1002/14651858.cd003417.pub2,W2108527237,Group based training for self‐management strategies in people with type 2 diabetes mellitus (Pub 2),Trudi A Deakin;Catherine E McShane;Janet E Cade;Rhys Williams,Cochrane Database of Systematic Reviews,Wiley,2005,2015,246
7,10.1007/s10489-020-01714-3,W3019186020,Deep learning system to screen coronavirus disease 2019 pneumonia,Charmaine Butt;Jagpal Gill;David Chun;Benson A Babu,Applied Intelligence,Springer,2020,2020,224
8,10.1101/2020.02.10.20021675,W3005929298,Epidemiological and clinical features of the 2019 novel coronavirus outbreak in China,Yang Yang;Qingbin Lu;Mingjin Liu;Yixing Wang;Anran Zhang;Neda Jalali;Natalie Dean;Ira Longini;M Elizabeth Halloran;Bo Xu;Xiaoai Zhang;Liping Wang;Wei Liu;Liquin Fang,medRxiv,Cold Spring Harbor Laboratory Press,2020,2020,193
9,10.1126/science.272.5267.1489,W2002021255,Synergistic activation of estrogen receptor with combinations of environmental chemicals,Steven F Arnold;Diane M Klotz;Bridgette M Collins;Peter M Vonier;Louis J Giullette Jr;John A McLachlan,Science,American Association for the Advancement of Science (AAAS),1996,1997,190
10,10.1016/j.fct.2012.08.005,W2112857091,Long term toxicity of a Roundup herbicide and a Roundup-tolerant genetically modified maize,Gilles-Eric Seralini;Emilie Clair;Robin Mesnage;Steeve Gress;Nicolas Defarge;Manuela Malatesta;Didier Hennequin;Joël Spiroux de Vendômois,Food and Chemical Toxicology: an International Journal Published for the British Industrial Biological Research Association,Elsevier,2012,2013,185
11,10.1126/science.aad8828,W2415014664,Environmentally relevant concentrations of microplastic particles influence larval fish ecology,Oona M Lönnstedt;Peter Eklöv,Science,American Association for the Advancement of Science (AAAS),2016,2017,166
12,10.1001/jamapsychiatry.2014.763,W1983915852,Subtyping attention-deficit/hyperactivity disorder using temperament dimensions: toward biologically based nosologic criteria,Sarah L Karalunas;Damien Fair;Erica D Musser;Kamari Aykes;Swathi P Iyer;Joel T Nigg,JAMA Psychiatry,American Medical Association,2014,2018,163
13,10.1002/14651858.cd004631.pub4,W1939614345,Surgery for thumb (trapeziometacarpal joint) osteoarthritis (Pub 4),Anne Wajon;Toby Vinycomb;Emma Carr;Ian Edmunds;Louise Ada,Cochrane Database of Systematic Reviews,Wiley,2015,2017,163
14,10.1056/nejmoa1712231,W2802565200,Relationship between Clinic and Ambulatory Blood-Pressure Measurements and Mortality,Jose R Banegas;Luis M Ruilope;Alejandro de la Sierra;Ernest Vinyoles;Manuel Gorostidi;Juan J de la Cruz;Gema Ruiz-Hurtado;Julian Segura;Fernando Rodriguez-Artalejo;Bryan Williams,NEJM: The New England Journal of Medicine,Massachusetts Medical Society,2018,2020,160
15,10.1242/jcs.010728,W2145937040,"The muscle-specific microRNAs miR-1 and miR-133 produce opposing effects on apoptosis by targeting HSP60, HSP70 and caspase-9 in cardiomyocytes",Chaoqian Xu;Yanjie Lu;Zhenwei Pan;Wenfeng Chu;Xiaobin Luo;Huixian Lin;Jiening Xiao;Hongli Shan;Zhiguo Wang;Baofeng Yang,Journal of Cell Science,The Company of Biologists,2007,2011,152
