Country,CountryCode,OpenAlexWorks,PeriodStart,PeriodEnd,RetrievedDate,Method
Australia,AU,3128234,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Bangladesh,BD,320432,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Belgium,BE,1382550,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Brazil,BR,3754797,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Canada,CA,3945606,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
China,CN,16603373,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Egypt,EG,747997,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
France,FR,6048991,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Germany,DE,6909395,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Greece,GR,720544,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
India,IN,5012837,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Indonesia,ID,3418295,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Iran,IR,1390867,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Iraq,IQ,296831,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Israel,IL,798286,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Italy,IT,3834211,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Japan,JP,15894884,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Malaysia,MY,814297,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Mexico,MX,1100248,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Netherlands,NL,2146714,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Nigeria,NG,528859,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Pakistan,PK,664404,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Poland,PL,1861768,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Russia,RU,2711339,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Saudi Arabia,SA,724135,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Singapore,SG,637030,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
South Africa,ZA,785060,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
South Korea,KR,2310894,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Spain,ES,3336209,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Sweden,SE,1356710,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Switzerland,CH,1791840,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Taiwan,TW,1203430,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Thailand,TH,467363,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
Turkey,TR,1722074,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
United Arab Emirates,AE,218777,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
United Kingdom,GB,7938698,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
United States,US,29506318,1990-01-01,2026-07-13,2026-07-13,At least one authorship institution in country
